FID,fid,geometry,stop_id,stop_name
cairo_metro_stops.60,60,POINT (31.207959499714875 30.00599033216389),surpassed.legwork.alerting,Omm El-Misryeen
cairo_metro_stops.61,61,POINT (31.33410853276225 29.84914634714805),sideboard.axed.redouble,Helwan
cairo_metro_stops.62,62,POINT (31.32502303424733 29.862597003172006),detriment.gadgets.unfocused,Ain Helwan
cairo_metro_stops.63,63,POINT (31.320042201269043 29.869444400328515),cowering.deploying.clauses,Helwan University
cairo_metro_stops.64,64,POINT (31.31358312779722 29.879082352385847),another.second.swooning,Wadi Hof
cairo_metro_stops.65,65,POINT (31.30403428306754 29.897186494682767),reconnect.reserve.providing,Hadayek Helwan
cairo_metro_stops.66,66,POINT (31.299532114352765 29.906367940322625),approach.throat.schematic,El-Maasara
cairo_metro_stops.67,67,POINT (31.28760049465532 29.92598265808241),headers.tunes.otters,Tora El-Asmant
cairo_metro_stops.68,68,POINT (31.281496782342437 29.93646934724611),yummy.transit.oath,Kozzika
cairo_metro_stops.69,69,POINT (31.272857495359396 29.946704731439194),burying.bordering.aura,Tora El-Balad
cairo_metro_stops.70,70,POINT (31.2629560383864 29.953300866486103),worthy.fizzled.foreheads,Sakanat El-Maadi
cairo_metro_stops.71,71,POINT (31.25772103367139 29.960293332427153),clays.earphones.perfumes,Maadi
cairo_metro_stops.72,72,POINT (31.250856948875825 29.969801164853617),booth.police.nanny,Hadayek El-Maadi
cairo_metro_stops.73,73,POINT (31.24213409346027 29.98204125305389),marble.processor.culminate,Dar El-Salam
cairo_metro_stops.74,74,POINT (31.231235189093308 29.995538205219997),contain.parsnip.organisms,El-Zahraa
cairo_metro_stops.75,75,POINT (31.229554490172248 30.00617047670444),castle.actors.hurricane,Mar Girgis
cairo_metro_stops.76,76,POINT (31.23118190982651 30.017711680367228),driveways.referral.occupy,El-Malek El-Saleh
cairo_metro_stops.77,77,POINT (31.2353285646519 30.029293474558415),divorcing.gossip.rankings,Al-Sayeda Zeinab
cairo_metro_stops.78,78,POINT (31.237807820723994 30.03566796087834),crashing.universal.crows,Saad Zaghloul
cairo_metro_stops.79,79,POINT (31.23572270506619 30.04383457425608),wedding.painter.apparatus,Sadat
cairo_metro_stops.80,80,POINT (31.238644205914333 30.053428427110276),uncle.trees.clipped,Nasser
cairo_metro_stops.81,81,POINT (31.242317093327674 30.05702175512958),unframed.regaining.district,Orabi
cairo_metro_stops.82,82,POINT (31.24583448123529 30.06101165684708),hatter.rested.frostbite,Al-Shohadaa
cairo_metro_stops.83,83,POINT (31.264656055653045 30.06897581676183),rivals.worldwide.revolting,Ghamra
cairo_metro_stops.84,84,POINT (31.27781512949885 30.077273667627733),hostels.grounded.flocking,El-Demerdash
cairo_metro_stops.85,85,POINT (31.287534483841434 30.081985210605765),cabs.drank.muddle,Manshiet El-Sadr
cairo_metro_stops.86,86,POINT (31.29408847493361 30.087208660467457),polar.feels.goose,Kobri El-Qobba
cairo_metro_stops.87,87,POINT (31.299031391881027 30.091155002463566),grit.grins.examiner,Hammamat El-Qobba
cairo_metro_stops.88,88,POINT (31.30446397047951 30.097717146303445),mango.taller.vine,Saray El-Qobba
cairo_metro_stops.89,89,POINT (31.310435733629507 30.105936564753364),marmalade.albums.galloped,Hadayeq El-Zaitoun
cairo_metro_stops.90,90,POINT (31.31394258763929 30.113255424091808),clinic.talent.merely,Helmeyet El-Zaitoun
cairo_metro_stops.91,91,POINT (31.313700724530037 30.120896985605423),dramatic.added.fiery,El-Matareyya
cairo_metro_stops.92,92,POINT (31.319029270031805 30.131042361299265),ombudsman.hazy.equivocal,Ain Shams
cairo_metro_stops.93,93,POINT (31.324487382696095 30.139302741181098),selects.unloaded.shark,Ezbet El-Nakhl
cairo_metro_stops.94,94,POINT (31.335738643956066 30.15211739414948),scared.sometimes.standing,El-Marg
cairo_metro_stops.95,95,POINT (31.33822441901029 30.1635690948086),backpacks.donor.likening,New El-Marg
cairo_metro_stops.96,96,POINT (31.21154471207719 29.98161046320033),amused.extremes.flagpole,El-Mounib
cairo_metro_stops.97,97,POINT (31.208583584161214 29.9955686453925),degrading.surnames.hardly,Sakiat Mekki
cairo_metro_stops.98,98,POINT (31.20706494458486 30.01065632605146),renews.camps.covenants,El-Giza
cairo_metro_stops.99,99,POINT (31.203927405496525 30.01753783979067),bridge.struck.greyhound,Faisal
cairo_metro_stops.100,100,POINT (31.201120553428915 30.02618196882497),overcomes.constants.foggy,Cairo University
cairo_metro_stops.101,101,POINT (31.200268062398262 30.035892579285463),irrigated.snake.dynamics,Bohooth
cairo_metro_stops.102,102,POINT (31.212181919393053 30.038498738247384),survived.birthing.timer,Dokki
cairo_metro_stops.103,103,POINT (31.224979413995325 30.041947747224217),shop.sinkhole.courage,Opera
cairo_metro_stops.104,104,POINT (31.244212947905154 30.045319218536893),hindering.thatched.library,Mohamed Naguib
cairo_metro_stops.105,105,POINT (31.246840849026135 30.05242301309027),marketing.dribble.gossiped,Attaba
cairo_metro_stops.106,106,POINT (31.245031775686467 30.070887018617462),manhole.melts.sunflower,Masarra
cairo_metro_stops.107,107,POINT (31.245425463800174 30.080588909361392),finishing.myself.spaceship,Rod El Farag
cairo_metro_stops.108,108,POINT (31.24547940507942 30.087948414405773),grant.courts.extremes,St. Teresa
cairo_metro_stops.109,109,POINT (31.24537727883162 30.097885060102957),smashes.dwell.prevented,Khalafawy
cairo_metro_stops.110,110,POINT (31.246039575916353 30.103921867160246),voltage.budgeted.encoder,Mezallat
cairo_metro_stops.111,111,POINT (31.248636608452816 30.113702544396467),childcare.drop.scam,Kolleyyet El-Zeraa
cairo_metro_stops.112,112,POINT (31.24477240709656 30.12255097484414),proposals.commander.optimally,Shubra El-Kheima
cairo_metro_stops.113,113,POINT (31.30053020267432 30.073139739679288),warbler.texts.lightens,Fair Zone
cairo_metro_stops.114,114,POINT (31.329077319616786 30.0841601859383),wounds.troll.cult,Koleyet El-Banat
cairo_metro_stops.115,115,POINT (31.31723255102425 30.07286581325738),activism.screening.freely,Stadium
cairo_metro_stops.116,116,POINT (31.326571419369312 30.091251206521754),backswing.inflame.computer,Al-Ahram
cairo_metro_stops.117,117,POINT (31.280995006113262 30.0696450004233),evaporate.study.congratulations,Abbassiya
cairo_metro_stops.118,118,POINT (31.274784725194078 30.0647700645299),headache.factoring.stewing,Abdou Pasha
cairo_metro_stops.119,119,POINT (31.26690946661129 30.061777091963876),square.enclosing.deciding,El-Geish
cairo_metro_stops.120,120,POINT (31.25603817306561 30.053879983862025),bolsters.error.camp,Bab El-Shaaria
cairo_metro_stops.121,121,POINT (31.207886471702118 30.005983191359014),icons.handyman.sweat,Omm El-Misryeen
cairo_metro_stops.122,122,POINT (31.299031937134455 30.091198338032783),atlas.swells.downfield,Hammamat El-Qobba
cairo_metro_stops.123,123,POINT (31.246210728280015 30.061726759112094),trendy.misfits.bookings,Al-Shohadaa
cairo_metro_stops.124,124,POINT (31.247650760252416 30.053378573379053),homeward.nappy.recap,Attaba
cairo_metro_stops.125,125,POINT (31.247663663601074 30.053403159057645),intricate.superbly.neckline,Attaba
cairo_metro_stops.126,126,POINT (31.23559154326747 30.04391977685966),scooped.duet.rushed,Sadat
cairo_metro_stops.127,127,POINT (31.235837251943146 30.04389955758051),extent.shorter.remark,Sadat
cairo_metro_stops.128,128,POINT (31.333217479161092 30.101347596370946),merely.imperious.scripted,Haroun
cairo_metro_stops.129,129,POINT (31.33302277430964 30.1013623981203),moderated.outline.grain,Haroun
cairo_metro_stops.130,130,POINT (31.348973324492288 30.12532466231819),film.springing.weeded,Shams Club
cairo_metro_stops.131,131,POINT (31.348870906771978 30.125442220661505),audibly.inflamed.surveyed,Shams Club
cairo_metro_stops.132,132,POINT (31.340183731785373 30.11897652975382),realm.probe.roofs,Alf Maskan
cairo_metro_stops.133,133,POINT (31.340081751338918 30.119023173519725),butterfly.fallback.nudge,Alf Maskan
cairo_metro_stops.134,134,POINT (31.3942126 30.1404102),kicked.bachelor.insisting,Omar Ibn El Khataab
cairo_metro_stops.135,135,POINT (31.3940955 30.1401873),atlas.sometimes.older,Omar Ibn El Khataab
cairo_metro_stops.136,136,POINT (31.38384045273248 30.13478369561398),appealing.earth.presuming,Kebaa
cairo_metro_stops.137,137,POINT (31.383925542138915 30.134591960834047),journey.weeds.following,Kebaa
cairo_metro_stops.138,138,POINT (31.360197679306037 30.127880198847727),hopefully.hiker.personal,Nozha 1
cairo_metro_stops.139,139,POINT (31.360073776082086 30.128313860131556),reap.whimpered.grub,Nozha 1
cairo_metro_stops.140,140,POINT (31.421374539288358 30.147033147023315),handfuls.immune.testing,Adly Mansour
cairo_metro_stops.141,141,POINT (31.42137103728375 30.1468755568159),rationing.stopped.sorters,Adly Mansour
cairo_metro_stops.142,142,POINT (31.24616453379819 30.06170899155151),likewise.airbrush.complains,Al-Shohadaa
cairo_metro_stops.143,143,POINT (31.37304312458407 30.13105051434825),intrigues.urgent.seashell,Hesham Barakat
cairo_metro_stops.144,144,POINT (31.37311146728965 30.13086775058518),cargo.oldest.sped,Hesham Barakat
cairo_metro_stops.145,145,POINT (31.40473770936355 30.143502630182034),villager.reap.magically,Hikestep
cairo_metro_stops.146,146,POINT (31.40475520073185 30.143340926785022),tractor.allowable.dunk,Hikestep
cairo_metro_stops.147,147,POINT (31.338322509381594 30.108338727529706),wasp.shuffles.inflame,Heliopolis
cairo_metro_stops.148,148,POINT (31.33824408584403 30.108466908307538),necklace.dose.stilted,Heliopolis
cairo_metro_stops.149,149,POINT (31.21300835276339 30.066839007031515),resemble.mice.rivals,Kit Kat
cairo_metro_stops.150,150,POINT (31.212989560226863 30.066767510617375),resemble.mice.rivals,Kit Kat
cairo_metro_stops.151,151,POINT (31.23231671698514 30.05583139366698),pinging.zest.shout,Maspero
cairo_metro_stops.152,152,POINT (31.232262789334946 30.05573841154803),pinging.zest.shot,Maspero
cairo_metro_stops.153,153,POINT (31.22255913401939 30.062504813657807),duration.wasp.sag,Safaa Hegazy
cairo_metro_stops.154,154,POINT (31.222521328419887 30.06247137084837),duration.wasp.stag,Safaa Hegazy
