FID,fid,geometry,route_id,route_short_name,route_long_name,route_headsign,trip_id,destination,direction
cairo_metro_trips.7,7,"LINESTRING (31.33837588454466 30.16350664493754, 31.337981432181323 30.16296048012677, 31.337797197949584 30.1625609986215, 31.337668116640685 30.162146262052488, 31.337628889333843 30.161512925448704, 31.33763416993284 30.16001113985709, 31.33763408611381 30.159143948154764, 31.337548925977558 30.15848999206918, 31.337393860768856 30.157877777861387, 31.337139470007543 30.157310574473627, 31.336940567445225 30.156493422733234, 31.336404796194387 30.1545267767916, 31.33580599303167 30.152077919960476, 31.335218170162108 30.150021336197824, 31.335074923436878 30.149619340121603, 31.334856239583075 30.14885457527606, 31.334673346455844 30.148430450975468, 31.334517359237765 30.148124427690618, 31.33417303065542 30.147582118555277, 31.333398626621204 30.14666413251973, 31.331254787246507 30.144851294501365, 31.328652038673084 30.14269337352934, 31.327763054022483 30.1419769722651, 31.32702259669614 30.141351849926423, 31.326237799102017 30.140717339856167, 31.324497632184148 30.13926098417977, 31.32378097946281 30.13858422931756, 31.32327043774052 30.13802741948973, 31.322489831097982 30.13709149618137, 31.321724228062095 30.135968237337096, 31.31910865517682 30.13102467466439, 31.31862267243082 30.13009973164918, 31.316957439727332 30.126888121629236, 31.316491070634754 30.126090583542265, 31.315037983900595 30.12343595098818, 31.31477026591324 30.122940999605788, 31.31453314187246 30.12252265881841, 31.31404087269908 30.121359166838886, 31.313659747561758 30.12039667289747, 31.31358942339415 30.12011797461696, 31.313440476974762 30.118860689140917, 31.313504095619834 30.117210879139293, 31.313591351231878 30.116694470084752, 31.31380165318251 30.115348671711217, 31.313958730047972 30.114006477556046, 31.313995442783863 30.113250178432708, 31.31396887215081 30.11290224563197, 31.31381238201857 30.111753841078155, 31.313657149171775 30.111148583849996, 31.313515746465242 30.11073761913741, 31.31329756552563 30.11015926781843, 31.313066644093226 30.10965266559063, 31.312528274452376 30.108764351492283, 31.31236625226404 30.108527730365722, 31.311132771393005 30.106816145737668, 31.30995377289264 30.10518377009464, 31.308423991744434 30.103393479395805, 31.307349934671777 30.10219034101428, 31.306975431237987 30.10172346900751, 31.306322145704655 30.10085753459066, 31.305967591200414 30.10029183994547, 31.305113475267035 30.09858302134549, 31.304767637942092 30.09806761811936, 31.304441162813475 30.097621952327614, 31.30387035520735 30.09680672842495, 31.30235507475166 30.094762130783835, 31.301199797037242 30.093308038221295, 31.299969333651376 30.092052932040104, 31.299257290976783 30.0913604191999, 31.298114334660056 30.090321147025435, 31.297566158192495 30.089852347180937, 31.293809053914003 30.086938127085574, 31.292976982385966 30.08623974691315, 31.290932049468722 30.084621536686456, 31.289769982412736 30.083676393284634, 31.288765159860304 30.082891092776293, 31.28785597482309 30.082192544965807, 31.286794742062284 30.081345050735933, 31.286244553937962 30.08096845182635, 31.285664190962223 30.080669050245007, 31.28490663455341 30.080309550417894, 31.2845537564298 30.080156999780115, 31.283909188075768 30.079883246822476, 31.282673024995745 30.079349822504525, 31.28202828900362 30.079062658501783, 31.28067352199369 30.0784620951394, 31.27779903211936 30.077235655067057, 31.27621879191406 30.076562923518367, 31.274841561403633 30.075916930240766, 31.273872948672903 30.075458859232327, 31.273694162678197 30.07534561972045, 31.272198495875926 30.07436225484014, 31.271445465694796 30.07379907476593, 31.27099099890475 30.073423984598918, 31.26878387616108 30.071373771082676, 31.26806554705911 30.070815284874215, 31.267394575710085 30.07036819415893, 31.266940695653233 30.07009486029645, 31.26576312207638 30.06940008434239, 31.264683952042787 30.0689463719236, 31.260681341820344 30.067283318514967, 31.2569182863906 30.06581212686993, 31.254273376844196 30.064802861908817, 31.253662587559944 30.064555260489072, 31.250632503142047 30.0632723962674, 31.2463061 30.0616681, 31.2462987 30.0616641, 31.2462936 30.0616578, 31.2462852 30.0616463, 31.24618135951933 30.061460516290403, 31.244876632471335 30.059451960832952, 31.23881027423164 30.053542445547464, 31.234832055347425 30.049802021256284, 31.234812944608194 30.048612042462736, 31.234866337331397 30.04712635012521, 31.235292221831656 30.045954643880606, 31.23540873028577 30.045411999469138, 31.235709221514526 30.04394868681311, 31.237163733172224 30.041916326750624, 31.23791014164982 30.040983169470337, 31.238430071103693 30.038917617071263, 31.238253045308653 30.037066222298307, 31.237163230258034 30.033077777492224, 31.236773974674662 30.031191346363983, 31.236507262515687 30.030632524879422, 31.23623652704319 30.030211669521066, 31.235739983099165 30.029534160287568, 31.235332119690753 30.029061756224706, 31.23400685697999 30.027683184609742, 31.233781635241712 30.027346483559285, 31.233599077390608 30.02702302591581, 31.233304118217916 30.026309558317678, 31.233166822643938 30.0256690970962, 31.23271319404418 30.02276979678848, 31.232428293155323 30.02168727399362, 31.231937532724515 30.020047689913838, 31.230544963331255 30.01538768702548, 31.23018822953219 30.014257890296733, 31.229984633104124 30.013280560386704, 31.229937862084398 30.012591316488738, 31.22993056982864 30.01194792160115, 31.23002201639227 30.01050799445497, 31.230120587573595 30.008951894130803, 31.23004548572115 30.00822183036439, 31.22995169222463 30.00776753121238, 31.229822443277698 30.007285152684744, 31.22965044662459 30.006430533837175, 31.22935967840351 30.004751051898296, 31.22905055381446 30.00256178260841, 31.228882077560684 30.00138772943089, 31.228807227165333 30.000709884921264, 31.22880261711859 30.00026036345406, 31.22885743476533 29.999779326030932, 31.22901442781179 29.999143474856197, 31.229546091930075 29.997739170798496, 31.23002352513484 29.997023775362635, 31.23063322477168 29.99625842378387, 31.232624597327657 29.994105364315686, 31.233588097097453 29.993120155416676, 31.235624061378303 29.990916469253307, 31.238274586799804 29.987249218976842, 31.240432340133765 29.984255119344226, 31.240916730318162 29.983630835195868, 31.241384356696216 29.983096237411473, 31.24169607967525 29.982777389814743, 31.24206865527131 29.98229568183936, 31.242775920261096 29.98132111795738, 31.243456363160703 29.980333226849353, 31.243911416684 29.97956737235637, 31.24408944830742 29.97924466908421, 31.24590874039123 29.976725488085407, 31.246697058384683 29.975673726875186, 31.24831778318233 29.97335395135289, 31.24870837987021 29.972817593368802, 31.250050741663443 29.97097416140386, 31.253155230960857 29.966732750760002, 31.25592377357907 29.962839356735913, 31.25773292356004 29.96034909330305, 31.25890379161433 29.958756280242994, 31.25932724536267 29.95815865054672, 31.26036928356521 29.95670598290772, 31.26100387745447 29.955858991592038, 31.26197886043161 29.954481425805454, 31.262285218992616 29.95408756017534, 31.262676318594686 29.953650946839048, 31.263130533927665 29.953173681272347, 31.26365742036114 29.95268434576508, 31.264175254339193 29.952227448223084, 31.264578423881858 29.95188454456425, 31.265016797417815 29.95157349213747, 31.26548936911874 29.951250453589182, 31.266721341247177 29.950487784219405, 31.267864968116186 29.949796361026642, 31.2690670168503 29.949074846801466, 31.274035725232523 29.94609642132778, 31.27451089532343 29.945793331709012, 31.27558755078607 29.944970731731587, 31.276599330318135 29.944174199472997, 31.277139795434778 29.94365368328593, 31.277575235304624 29.943217321406706, 31.27806884558251 29.942509888778858, 31.279068136078877 29.940773661355507, 31.280666816471154 29.937983661065175, 31.281184566630174 29.9370725481902, 31.281803653998566 29.93602128989417, 31.28286103108391 29.934197220125554, 31.283396718515746 29.933305385627904, 31.283827464519817 29.932553948008405, 31.28417036817865 29.9319253890894, 31.28446868011258 29.93139297059983, 31.285577941178587 29.92958331770467, 31.287531176075106 29.926150844536096, 31.288103660061864 29.925193882650774, 31.28865929642322 29.92436642116948, 31.288713443517736 29.92429198986929, 31.28977417336432 29.923144339686786, 31.290737086400895 29.92226784407191, 31.29164585234298 29.92152168705141, 31.29213518785025 29.921045343494058, 31.292538692669012 29.920569083755737, 31.293360789732276 29.9193492653869, 31.295926741750776 29.913973280329486, 31.297041199596748 29.911617043528366, 31.298479534181325 29.908651442366534, 31.298762591051485 29.908159759926377, 31.298925032334978 29.907890365558387, 31.299914432185574 29.905889437632823, 31.30025993423439 29.905133641423646, 31.300486077982015 29.90452553434841, 31.30051264861507 29.90441162428428, 31.30072194473732 29.903919522748964, 31.301747470590612 29.901860759691488, 31.30541195483903 29.894595326020692, 31.307203251366246 29.8910297482297, 31.30912497030684 29.88718538833919, 31.3111863317543 29.883438426163508, 31.312681160366253 29.88076552106051, 31.313419186940678 29.879444952215522, 31.313597553840225 29.879142030234846, 31.314653841278158 29.877218970189745, 31.315601666889023 29.875643088574094, 31.317226582638227 29.87342154895697, 31.3186339880001 29.871469655164958, 31.325665147477196 29.86179266413211, 31.326361767449953 29.860941062769683, 31.326926037171575 29.860253159976224, 31.330560765663762 29.8559875256322, 31.332418782140223 29.853753664617415, 31.333139625813146 29.852936093781892, 31.333427544187145 29.852546419103334, 31.333968931313137 29.851699595425714, 31.334215191628374 29.851072964344468, 31.334285096700825 29.85074196298814, 31.33434217746145 29.850359496746336, 31.334379979844755 29.850001589480826, 31.33442624795029 29.849206063050644)",L1,M1,Metro Line 1,Helwan - El Marg,T_L1_S,Helwan,1
cairo_metro_trips.10,10,"LINESTRING (31.421501505611438 30.14703740078622, 31.421436240359633 30.147034394731858, 31.42011462243822 30.146926197040894, 31.418294219164377 30.146846764074805, 31.41751371673051 30.146742537426896, 31.4163065688334 30.146444647163207, 31.41477410572105 30.146036803405124, 31.4138673421664 30.145917196994994, 31.41264835733831 30.145894791467576, 31.411633044988235 30.145824389585165, 31.41054487304246 30.145607133437732, 31.40944658623979 30.145270705277916, 31.408420898435807 30.14496228143955, 31.40760443412888 30.14471837027956, 31.4062613925094 30.1443171490179, 31.40519869356671 30.143999677537966, 31.40473770936355 30.143502630182034, 31.40361035256408 30.143193747485505, 31.403231081034235 30.143142609751145, 31.402800671770024 30.143059510932808, 31.402404354328723 30.142901836251863, 31.401564843189632 30.142603532801424, 31.400972497766606 30.142405374080774, 31.40036736791 30.14220082314333, 31.399792068398437 30.14203036402879, 31.399255122187647 30.14180450570203, 31.398654253808903 30.14163191584856, 31.3980022476958 30.141427364911117, 31.397311888281926 30.141222813973673, 31.3966385747795 30.14106727003166, 31.395956738321356 30.14090959535071, 31.39518114935021 30.14067095259036, 31.3942126 30.1404102, 31.393066177886592 30.14009203082261, 31.392287605880945 30.13984145592424, 31.39143744104719 30.139532711853036, 31.39068571635208 30.139219493230073, 31.389907144346434 30.13873624164036, 31.38925385978997 30.138190346326056, 31.388537931508914 30.13764445101175, 31.38800993440164 30.137214894043108, 31.387320853431124 30.136615304107725, 31.386488586804397 30.135926223137208, 31.386032182525224 30.13567564823884, 31.385298356037143 30.135344531408848, 31.384546631342033 30.13504921099291, 31.38384045273248 30.13478369561398, 31.382058780565366 30.134221418917942, 31.38114597200702 30.133890302087956, 31.37934720220087 30.13328176304906, 31.37718151915067 30.132462920077597, 31.375830204520177 30.131979668487887, 31.374362551544014 30.131469569587633, 31.37304312458407 30.13105051434825, 31.3725154565789 30.13078496316887, 31.371051383244147 30.130307081041266, 31.370231645362338 30.130017130087438, 31.369257982900102 30.129686013257448, 31.368441824659698 30.12942827907627, 31.36746816219746 30.129113270632605, 31.3671495741124 30.129047047266607, 31.36649092009383 30.128943237665855, 31.365764252888557 30.12887880412056, 31.364300179553805 30.12873740828505, 31.361855284474007 30.12846535553825, 31.361379192167107 30.128451036972628, 31.360878042370366 30.1284331387656, 31.3604270075533 30.128365125578902, 31.360073776082086 30.128313860131556, 31.35937817262155 30.1280948626528, 31.359013049198214 30.12800537161767, 31.357015609294077 30.12758476375255, 31.356389172048154 30.127466635586178, 31.355232947874246 30.12728765351591, 31.354456165689307 30.127131939114783, 31.353840467367597 30.126978014534355, 31.35259833179997 30.1267363887395, 31.352079283796204 30.126596782724693, 31.35137767408077 30.126442858144266, 31.350414750542747 30.12611353113498, 31.35007826425065 30.125981084402987, 31.349562795888293 30.125730509504617, 31.34894639145405 30.125485580664897, 31.348159204468406 30.125027913325653, 31.346947350733142 30.124347972630034, 31.345641564507353 30.12354642312228, 31.344269951128037 30.122590428973425, 31.343571796246056 30.12211429338406, 31.342400082258905 30.12126458413456, 31.341920241649074 30.120886184919925, 31.34124861981245 30.120356548264954, 31.340403968463146 30.11963011077323, 31.340063384727504 30.119311282241718, 31.34005628877264 30.119177490072364, 31.34009622336448 30.119085790398987, 31.340081800312447 30.1190241787155, 31.340065945522177 30.118933091029536, 31.33997753800026 30.11842517913304, 31.33987573930695 30.117840333338915, 31.33974623482648 30.117096314449448, 31.339570255335097 30.116085291006325, 31.339252553573942 30.114261423541645, 31.33894126241199 30.112471650656616, 31.33885509217391 30.11197607398755, 31.338754339381158 30.11139775525706, 31.33865774408137 30.110842803587364, 31.338571845509453 30.110349305911832, 31.3383563609073 30.109111320833588, 31.338216060613203 30.108305278690366, 31.33816961127144 30.108231776616442, 31.337943345744048 30.10793508753426, 31.33757788092586 30.10744474960266, 31.337295666512148 30.107065732522766, 31.336843278640377 30.106458170605972, 31.335899841465945 30.105191124042946, 31.33489247652194 30.1038382217781, 31.33385984859374 30.102451391046024, 31.333549733026594 30.101985235193325, 31.33324815945948 30.10162988577125, 31.333021153460823 30.101363225930132, 31.332933285858264 30.101295938336637, 31.332433748421543 30.1008273838938, 31.331204776031132 30.099632409592587, 31.3304485676195 30.098882256986773, 31.32926586650306 30.09770902707985, 31.32802939835287 30.096457035161258, 31.32688552087733 30.095277496192864, 31.325987833413752 30.09451088974182, 31.32462114340299 30.09365570460123, 31.325482376104468 30.092689356088766, 31.326195606527456 30.091742103580707, 31.3265489353478 30.091280539662677, 31.326663180688058 30.091131341786166, 31.328084751466292 30.089274331138085, 31.32893492790518 30.08727776180214, 31.32916911827985 30.085432318180438, 31.329266264537637 30.08444233159662, 31.32913693177167 30.084263545601914, 31.328800817454407 30.083675974189475, 31.328179047877 30.082580124168544, 31.327137847864776 30.081045481516526, 31.326757896193925 30.08027803446194, 31.326510043317086 30.079357030941253, 31.326405940079667 30.077897490141652, 31.326136964806835 30.07771551902374, 31.32213334875601 30.075666562792975, 31.319265480585187 30.07398138115994, 31.317386341712705 30.07296013007729, 31.317133962608153 30.07280556778275, 31.317128765828187 30.072804645773402, 31.316317984334205 30.072716971066228, 31.310861030092127 30.075667065707165, 31.310126691555098 30.075955486995355, 31.30953023532527 30.07601835126917, 31.304255419839137 30.074198220995044, 31.302646262067896 30.073835871320853, 31.30114347064793 30.073341255214586, 31.300133535134535 30.073008745115686, 31.29774377072073 30.07214012848982, 31.292364768178174 30.069202690522673, 31.2915899450488 30.06916237356839, 31.291246035561613 30.069230769898297, 31.29084093818122 30.06940452675107, 31.289811640471527 30.070417395930576, 31.289522464812023 30.07055787662776, 31.28892282345899 30.070977726157707, 31.28560987622967 30.073088540833908, 31.285011995076303 30.0730959169087, 31.284752072258897 30.073065322962123, 31.284078334881798 30.072797018241516, 31.28337819450971 30.072089334156573, 31.28230464035127 30.07099893237273, 31.276933684435733 30.065446256796406, 31.27605936811571 30.06523486519839, 31.26795817487948 30.06228158543422, 31.264041982078737 30.060398590886308, 31.262614292511188 30.059330736421998, 31.257594873614778 30.05514196413006, 31.25376073964611 30.05203328388106, 31.252878879613235 30.051641932821894, 31.25178529270616 30.051821221730762, 31.250270766621753 30.05239228079398, 31.24766349182059 30.053403222135756, 31.23865917321742 30.053426060316774, 31.235537543281673 30.054759267061385, 31.23204140440478 30.05592303783375, 31.22873674104765 30.057296249346198, 31.224053914794435 30.061874226877958, 31.222479672938757 30.062538335032844, 31.216867516715038 30.065211787368117, 31.212990351474872 30.06684561478815)",L3,M3,Metro Line 3,Kit Kat - Adly Mansour,T_L3_W,Kit Kat,0
cairo_metro_trips.8,8,"LINESTRING (31.334109076734194 29.849145797166813, 31.33407714168311 29.849884326655427, 31.33405803094388 29.850406016308966, 31.333976642664055 29.850923179734764, 31.333884190272045 29.85141285051816, 31.333775644625945 29.85172138837399, 31.33349577287899 29.85222949934436, 31.333051867286912 29.852839785714423, 31.331326033423494 29.854749267076386, 31.32679226199693 29.860240922397594, 31.325483343997348 29.861958122900745, 31.324989817538494 29.86264577423711, 31.315531258902354 29.875640574003143, 31.31356804954106 29.87910959226957, 31.313388425356038 29.879430451523035, 31.309059675281105 29.887168289256692, 31.307145919148525 29.891000746844725, 31.305361747239033 29.89456783337829, 31.30403858000406 29.89717678456006, 31.30169734680962 29.90183896674324, 31.30067416788924 29.90390518969454, 31.299669093879686 29.906083059596114, 31.299568762498723 29.90628925441419, 31.295183518396385 29.915431731481675, 31.294716897846712 29.916437056948297, 31.29330974394196 29.919333088313778, 31.29248672486935 29.920550392111664, 31.292092021048916 29.921028244411588, 31.29166823202445 29.92144205897128, 31.29135541939803 29.921715979566983, 31.290685370058327 29.922254349207805, 31.289734778419415 29.923109051874405, 31.288662146270298 29.924272627672963, 31.28861822509768 29.92433255828064, 31.28807348521042 29.9251755262828, 31.286616794257895 29.927653384498967, 31.28537032143697 29.92976973123126, 31.284968241541748 29.93048395320065, 31.284849386154747 29.930684364505538, 31.284115885808035 29.931919773214275, 31.281756296245646 29.93602908506412, 31.281053976578733 29.93722166224765, 31.28099236959042 29.937330291712783, 31.279668867079323 29.93964235588416, 31.279017593202724 29.94075086257888, 31.278021823105718 29.942481055031948, 31.277526871723325 29.943169796015724, 31.277093778786337 29.943610348846505, 31.276542333376568 29.944146120097372, 31.27558562294834 29.94490577198198, 31.275521669027114 29.944948519688154, 31.27444585175479 29.945705070268616, 31.273328376423706 29.946415436562575, 31.269850976254105 29.948551564586325, 31.266712540248847 29.95044009119036, 31.265679889777886 29.95106638699548, 31.26520237275409 29.951388922629604, 31.264926189044502 29.951585897354164, 31.26455009304911 29.951857387197975, 31.26379513503028 29.952516959158686, 31.26373168402327 29.952576135395105, 31.263114943587738 29.953141243307044, 31.262956525617767 29.95329949363898, 31.262646395200363 29.953620017616316, 31.2622535353986 29.954058223514238, 31.262085142963855 29.954268776921964, 31.261474018403476 29.95510755397254, 31.25940008410126 29.957959664165372, 31.258252266280664 29.959568821936642, 31.257758991278905 29.960238619819222, 31.257684727616777 29.960347752198544, 31.25743796438735 29.96068487234419, 31.255861831314604 29.962826364785997, 31.253077782175524 29.966688326673193, 31.25093553536243 29.969689634742537, 31.25001545385109 29.970956475588167, 31.24937096931606 29.97183858707814, 31.248670828944 29.97280242212406, 31.248276795675793 29.973337439003643, 31.246690855776336 29.975604240897894, 31.245861634095377 29.976695061776894, 31.244676852081824 29.97836557507935, 31.243842265982835 29.979522696812467, 31.24364738673404 29.979806591872943, 31.243126954366005 29.98062935948846, 31.242174351070332 29.98198613815515, 31.241722566489273 29.982591227745246, 31.241187381971656 29.98316505283651, 31.240869959298465 29.983613987570493, 31.24033921718953 29.984302560916205, 31.23557351850215 29.990892497010236, 31.23354736104801 29.993096518449732, 31.232594673933306 29.99407225579816, 31.230613946394385 29.99620897055513, 31.229984130189933 29.996981698208714, 31.229493369759126 29.99770899594708, 31.228952569366356 29.999131740191757, 31.22879482194864 29.999783852258645, 31.228742854148948 30.000253322655396, 31.228751152233116 30.00072052993829, 31.22881443560206 30.001364260102008, 31.22898207366552 30.002482657442442, 31.229317265973435 30.00476354093402, 31.229498817996188 30.005872718180967, 31.229516839088006 30.005961063440424, 31.229607196004224 30.006466576020813, 31.22978061758087 30.00730501779526, 31.22990819014717 30.007782283361962, 31.230007599518814 30.008235157590434, 31.23006845213584 30.00893269957254, 31.230051017777242 30.00946176530084, 31.229950351120124 30.0106253410994, 31.229878518209944 30.01193769567928, 31.229877260924468 30.012626017567868, 31.22993543133248 30.013272178483533, 31.230137686656064 30.01427876123563, 31.230494085179004 30.015397074757033, 31.231182574705684 30.017715844450976, 31.23158909700959 30.019113191529016, 31.232386048363338 30.021689034193287, 31.232676397489257 30.022785135671285, 31.233121225090684 30.02569021949219, 31.233264890911073 30.026313916907327, 31.233551971094755 30.027038029522487, 31.233724554481114 30.027357882947598, 31.23395849339869 30.02770304972026, 31.23516666092212 30.029113053472116, 31.235326336177565 30.029291839466822, 31.23559556290749 30.029598868580052, 31.236106859001097 30.030272186861993, 31.236355047154063 30.030672338919487, 31.23661103047698 30.03119956062909, 31.236823092627247 30.031964660750788, 31.237106149497436 30.033094289841472, 31.23819671891934 30.037098241168422, 31.23838053405592 30.038900685626857, 31.237873177456834 30.040959448684333, 31.237118722352193 30.041917248759972, 31.235671419131222 30.043906525840157, 31.235654822962942 30.043943573852175, 31.23525274306769 30.045925139581442, 31.234815040083987 30.047106485014694, 31.234746392296984 30.048607264777928, 31.23477212473972 30.049810738435582, 31.238791582587567 30.05356465759087, 31.244829592506434 30.059484126649675, 31.2462582163338 30.061655776081466, 31.2462768 30.061661, 31.2462847 30.061672, 31.2462926 30.061677, 31.2463013 30.0616822, 31.25061777741314 30.063297388279835, 31.25426818006423 30.064830522189283, 31.25983627834239 30.0669939752174, 31.262131159612267 30.067916487480687, 31.26573722199558 30.06942942100349, 31.26692736842719 30.070119922186933, 31.26736406558254 30.070380599375625, 31.268039479340246 30.070839592393412, 31.2687448164923 30.071387265946782, 31.270948167379515 30.073452650707765, 31.271414620291125 30.073819275152573, 31.272177960213156 30.074386981454495, 31.273690726097897 30.075383841198942, 31.273857274513944 30.075483837303807, 31.274814571675392 30.0759513798628, 31.276208817449287 30.076588153046913, 31.27777304821953 30.07725577163467, 31.28065642291122 30.078498640237257, 31.282016470520148 30.07909283335323, 31.282660284502896 30.07937203454793, 31.2838989621539 30.07991082328391, 31.28454537452663 30.080192119954432, 31.28489506752703 30.08033964145028, 31.285644242032674 30.080698135449012, 31.286215720191052 30.080997620849388, 31.2867731167521 30.081366256950957, 31.287824542686167 30.082221378712717, 31.288729872047952 30.082916573761935, 31.289733185857813 30.083705227031544, 31.290902461350527 30.0846501189763, 31.29380209693437 30.08698732885719, 31.297531457113365 30.089872379929517, 31.298098995777224 30.09035023222944, 31.29924446666493 30.09139168369873, 31.299939494076085 30.09207916739703, 31.30116601796746 30.09334508623334, 31.302323139700547 30.09479138362593, 31.30383758196595 30.096809745910093, 31.304013434294518 30.097061622100455, 31.304399253297618 30.097631842973357, 31.304732433948743 30.098074742737055, 31.305066452790214 30.09857707019424, 31.305914366115246 30.100298294010912, 31.30628476241648 30.100888631451426, 31.30694089779692 30.101745597231883, 31.307314143945234 30.10220945175351, 31.308399265130078 30.103428096655904, 31.3099180659851 30.10521453167928, 31.31108507836396 30.106842632551718, 31.312308249494066 30.10854373980078, 31.31248695166974 30.108784970974114, 31.31301844814996 30.109667585378276, 31.313247944658855 30.11016999665449, 31.313482721766746 30.11075086254442, 31.31362278336877 30.11116291690442, 31.313773992902014 30.111774963474147, 31.313921849674017 30.112925463503757, 31.31394205006066 30.113250178432708, 31.313921346759827 30.114014691821154, 31.313757396733735 30.115312880984675, 31.313537958508647 30.116687261648025, 31.313450451439536 30.117205598540266, 31.31336512366522 30.11887401636696, 31.31345942007593 30.12010766487606, 31.313620436435883 30.12067914303441, 31.313863930723073 30.121335026957752, 31.313896368688347 30.121435442157775, 31.316882254055855 30.126892899314043, 31.318568692974367 30.130129822681596, 31.319038582466277 30.131064488704453, 31.321654825903835 30.1359645492997, 31.322442473345035 30.137112953853517, 31.32322743857725 30.13805767816018, 31.32372959839637 30.138604094428075, 31.324479778730392 30.139298032191817, 31.32621097701184 30.140770229665208, 31.327017567554236 30.141422928465317, 31.327708823108964 30.14199164059565, 31.32857794264902 30.1427265658659, 31.33121623049192 30.14488582794243, 31.33336032132371 30.14668366235412, 31.33412801983536 30.14759494286713, 31.33447125877032 30.148165247559064, 31.334622635941628 30.148458278894026, 31.33478859762448 30.14886572320728, 31.335022871818182 30.149633254080868, 31.335158491011526 30.15003726181385, 31.335735836502096 30.152105747879006, 31.336352828394723 30.154544881702492, 31.337084233265642 30.15737477985192, 31.337280453618916 30.15789646950546, 31.337418587383212 30.15848907005983, 31.33753928678891 30.15914126594575, 31.337526462477058 30.161813249039398, 31.337579687562226 30.162199319499564, 31.337729891267088 30.162699970576142, 31.33803516018068 30.163329954418657, 31.33822425591626 30.163568587202008)",L1,M1,Metro Line 1,Helwan - El Marg,T_L1_N,El Marg,0
